city_name,lat,lon
Rendsburg,54.30182,9.67175
Renchen,48.5885,8.01321
Remscheid,51.17983,7.1925
Remagen,50.57879,7.22703
Rellingen,53.651,9.829
Reiskirchen,50.6,8.83333
Reisbach,48.57008,12.62799
Reinsdorf,50.69775,12.55555
Reinickendorf,52.56395,13.33552
Reinheim,49.82923,8.83572
Reinhausen,49.03092,12.11329
Reinfeld,53.8311,10.49227
Reinbek,53.51703,10.2488
Reilingen,49.29472,8.56917
Reichertshofen,48.65775,11.46612
Reichenbach an der Fils,48.71011,9.46429
Reichenbach/Vogtland,50.62279,12.30344
Reichelsheim,50.35638,8.87446
Reichelsheim,49.71211,8.83896
Rehburg-Loccum,52.46952,9.19957
Rehau,50.24921,12.03422
Regenstauf,49.12014,12.13027
Regensburg,49.01513,12.10161
Regen,48.9719,13.12824
Rees,51.76263,6.39778
Rednitzhembach,49.30095,11.07997
Recklinghausen,51.61379,7.19738
Recke,52.36885,7.72116
Rechberghausen,48.7308,9.64419
Ravensburg,47.78198,9.61062
Raunheim,50.0132,8.45253
Rauenberg,49.26943,8.70344
Raubling,47.7905,12.11088
Ratzeburg,53.69965,10.77256
Ratingen,51.29724,6.84929
Rathenow,52.60659,12.33696
Rath,50.92379,7.0927
Ratekau,53.95,10.73333
Rastede,53.25,8.2
Rastatt,48.85851,8.20965
Ranstadt,50.35739,8.98375
Rangsdorf,52.29126,13.41946
Rangendingen,48.38168,8.8894
Ramstein-Miesenbach,49.44452,7.55533
Raisdorf,54.28127,10.24915
Rain,48.69029,10.91611
Rahnsdorf,52.44115,13.68708
Rahlstedt,53.60194,10.15667
Rahden,52.43367,8.61263
Raesfeld,51.76667,6.85
Radolfzell,47.74194,8.97098
Radevormwald,51.20219,7.36027
Radeburg,51.21516,13.7281
Radebeul,51.10654,13.66047
Radeberg,51.11112,13.91199
Quierschied,49.31667,7.05
Quickborn,53.72831,9.90934
Querfurt,51.38124,11.60047
Quedlinburg,51.78843,11.15006
Quakenbrück,52.67502,7.94983
Pyrbaum,49.29622,11.28655
Putzbrunn,48.07579,11.71572
Püttlingen,49.2855,6.88723
Pulsnitz,51.1832,14.01416
Pullach im Isartal,48.06122,11.52148
